"parameter_id","parameter_name","parameter_description","procedure_id"
"IMPC_HEM_001_001","White blood cell count","white_blood_cell_count",28
"IMPC_HEM_002_001","Red blood cell count","red_blood_cell_count",28
"IMPC_HEM_003_001","Hemoglobin","hemoglobin",28
"IMPC_HEM_004_001","Hematocrit","hematocrit",28
"IMPC_HEM_005_001","Mean cell volume","mean_cell_volume",28
"IMPC_HEM_006_001","Mean corpuscular hemoglobin","mean_corpuscular_hemoglobin",28
"IMPC_HEM_007_001","Mean cell hemoglobin concentration","mean_cell_hemoglobin_concentration",28
"IMPC_HEM_008_001","Platelet count","platelet_count",28
"IMPC_HEM_009_001","Equipment ID","equipment_name",28
"IMPC_HEM_010_001","Equipment manufacturer","equipment_manufacturer",28
"IMPC_HEM_011_001","Equipment model","equipment_model",28
"IMPC_HEM_012_001","Anesthesia used for blood collection","anesthesia_used_for_blood_collection",28
"IMPC_HEM_013_001","Method of blood collection","method_of_blood_collection",28
"IMPC_HEM_014_001","Anticoagulant","anticoagulant",28
"IMPC_HEM_018_001","Samples kept on ice between collection and analysis","samples_kept_on_ice_between_collection_and_analysis_",28
"IMPC_HEM_020_001","ID for blood collection SOP","id_for_blood_collection_sop",28
"IMPC_HEM_021_001","Date and time of blood collection","date_and_time_of_blood_collection",28
"IMPC_HEM_023_001","Chip card number","chip_card_number",28
"IMPC_HEM_024_001","Blood collection experimenter ID","blood_collection_experimenter_id",28
"IMPC_HEM_025_001","Date equipment last calibrated","date_equipment_last_calibrated",28
"IMPC_HEM_026_001","Storage temperature from blood collection until measurement","storage_temperature_from_blood_collection_until_measurement",28
"IMPC_HEM_015_001","Blood collection tubes","blood_collection_tubes",28
"IMPC_HEM_016_001","Date and time of sacrifice","date_and_time_of_sacrifice",28
"IMPC_HEM_017_001","Blood analysis experimenter ID","blood_analysis_experimenter_id",28
"IMPC_HEM_019_001","Mean platelet volume","mean_platelet_volume",28
"IMPC_HEM_027_001","Red blood cell distribution width","red_blood_cell_distribution_width",28
"IMPC_HEM_028_001","Fight wounds","fight_wounds",28
"IMPC_HEM_029_001","Neutrophil differential count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_030_001","Neutrophil cell count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_031_001","Lymphocyte differential count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_032_001","Lymphocyte cell count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_033_001","Monocyte differential count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_034_001","Monocyte cell count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_035_001","Eosinophil differential count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_036_001","Eosinophil cell count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_037_001","Basophil cell count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_038_001","Basophil differential count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_039_001","Large Unstained Cell (LUC) count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities, both of which are signs of a potential problem.",28
"IMPC_HEM_040_001","Large Unstained Cell (LUC) differential count","large_unstained_cell_(luc)_differential_count",28
"IMPC_HEM_041_001","Sample clotted","sample_clotted",28
"IMPC_HEM_042_001","Service-related calibration start date","Harwell-required metadata parameter (req analysis) due to ADVIA analyser causing shift in data.",28
"IMPC_HEM_043_001","LIH (Hemolysis Severity - available on AU analysers)","Copied from the same parameter in Clinical Blood Chemistry, as the same blood samples are used for both procedures, and the level of hemolysis has an effect on the results of hematology as well as CBC",28
"IMPC_EXD_001_001","Submitter ID","submitter_id",12
"IMPC_EXD_002_001","Name of phenotyping project","name_of_phenotyping_project",12
"IMPC_EXD_003_001","Name of pipeline","name_of_pipeline",12
"IMPC_EXD_004_001","Start date","start_date",12
"IMPC_EXD_005_001","End date","end_date",12
"IMPC_EXD_010_001","Genetic background","genetic_background",12
"IMPC_EXD_011_001","Controls and knockout same source","controls_and_knockout_same_source",12
"IMPC_EXD_012_001","Control animal production location","control_animal_source",12
"IMPC_EXD_016_001","Blinding  - Body Weight","blinding_body_weight",12
"IMPC_EXD_017_001","Blinding  - CSD","blinding_csd",12
"IMPC_EXD_018_001","Blinding  - Grip strength","blinding_grip_strength",12
"IMPC_EXD_019_001","Blinding  - Acoustic startle","blinding_acoustic_startle",12
"IMPC_EXD_020_001","Blinding  - Calorimetry","blinding_calorimetry",12
"IMPC_EXD_021_001","Blinding  - IPGTT","blinding_ipgtt",12
"IMPC_EXD_022_001","Blinding  - ABR collection","blinding_abr_collection",12
"IMPC_EXD_023_001","Blinding  - ABR annotation","blinding_abr_annotation",12
"IMPC_EXD_024_001","Blinding  - DEXA","blinding_dexa",12
"IMPC_EXD_025_001","Blinding  - X-ray imaging","blinding_x_ray_imaging",12
"IMPC_EXD_026_001","Blinding  - X-ray annotation","blinding_x_ray_annotation",12
"IMPC_EXD_027_001","Blinding  - Slit lamp collection","blinding_slit_lamp_collection",12
"IMPC_EXD_028_001","Blinding  - Slit lamp annotation","blinding_slit_lamp_annotation",12
"IMPC_EXD_029_001","Blinding  - Ophthalmoscope collection","blinding_ophthalmoscope_collection",12
"IMPC_EXD_030_001","Blinding  - Ophthalmoscope annotation","blinding_ophthalmoscope_annotation",12
"IMPC_EXD_031_001","Blinding  - Hematology","blinding_hematology",12
"IMPC_EXD_032_001","Blinding  - Clinical chemistry","blinding_clinical_chemistry",12
"IMPC_EXD_033_001","Blinding  - Insulin","blinding_insulin",12
"IMPC_EXD_034_001","Blinding  - Immunophenotyping collection","blinding_immunophenotyping_collection",12
"IMPC_EXD_035_001","Blinding  - Immunophenotyping annotation","blinding_immunophenotyping_annotation",12
"IMPC_EXD_036_001","Blinding  - Heart weight","blinding_heart_weight",12
"IMPC_EXD_037_001","Blinding  - Open field","blinding_open_field",12
"IMPC_EXD_038_001","Blinding  - Gross pathology collection","blinding_gross_pathology_collection",12
"IMPC_EXD_039_001","Blinding  - Gross pathology annotation","blinding_gross_pathology_annotation",12
"IMPC_EXD_040_001","Blinding - ECG","blinding_ecg",12
"IMPC_EXD_041_001","Blinding  - Echo","blinding_echo",12
"IMPC_EXD_042_001","Blinding  - Plethysmography","blinding_plethysmography",12
"IMPC_EXD_043_001","Blinding  - Adult Lac Z collection","blinding_adult_lac_z_collection",12
"IMPC_EXD_044_001","Blinding  - Adult Lac Z annotation","blinding_adult_lac_z_annotation",12
"IMPC_EXD_045_001","Blinding  - Embryo Lac Z collection","blinding_embryo_lac_z_collection",12
"IMPC_EXD_046_001","Blinding  - Embryo Lac Z annotation","blinding_embryo_lac_z_annotation",12
"IMPC_EXD_047_001","Instrumentation effects - Body weight","instrumentation_effects_body_weight",12
"IMPC_EXD_048_001","Instrumentation effects - Heart weight","instrumentation_effects_heart_weight",12
"IMPC_EXD_049_001","Instrumentation effects - Grip strength","instrumentation_effects_grip_strength",12
"IMPC_EXD_050_001","Instrumentation effects - Acoustic startle","instrumentation_effects_acoustic_startle",12
"IMPC_EXD_051_001","Instrumentation effects - Calorimetry","instrumentation_effects_calorimetry",12
"IMPC_EXD_052_001","Instrumentation effects - IPGTT","instrumentation_effects_ipgtt",12
"IMPC_EXD_053_001","Instrumentation effects - ABR","instrumentation_effects_abr",12
"IMPC_EXD_054_001","Instrumentation effects - DEXA","instrumentation_effects_dexa",12
"IMPC_EXD_055_001","Instrumentation effects - Slit lamp","instrumentation_effects_slit_lamp",12
"IMPC_EXD_056_001","Instrumentation effects - Ophthalmoscope","instrumentation_effects_ophthalmoscope",12
"IMPC_EXD_057_001","Instrumentation effects - Hematology","instrumentation_effects_hematology",12
"IMPC_EXD_058_001","Instrumentation effects - Clinical chemistry","instrumentation_effects_clinical_chemistry",12
"IMPC_EXD_059_001","Instrumentation effects - Immunophenotyping","instrumentation_effects_immunophenotyping",12
"IMPC_EXD_060_001","Instrumentation effects - Open field","instrumentation_effects_open_field",12
"IMPC_EXD_061_001","Instrumentation effects - ECG","instrumentation_effects_ecg",12
"IMPC_EXD_062_001","Instrumentation effects - Echo","instrumentation_effects_echo",12
"IMPC_EXD_063_001","Instrumentation effects - Plethysmography","instrumentation_effects_plethysmography",12
"IMPC_EXD_064_001","Instrumentation effects - Gross pathology","instrumentation_effects_gross_pathology",12
"IMPC_EXD_065_001","Instrumentation effects - Insulin","instrumentation_effects_insulin",12
"IMPC_EXD_066_001","Instrumentation effects - Embryo Lac Z","instrumentation_effects_embryo_lac_z",12
"IMPC_EXD_067_001","Instrumentation effects - Adult Lac Z","instrumentation_effects_adult_lac_z",12
"IMPC_EXD_068_001","Instrumentation effects - X-ray","instrumentation_effects_x_ray",12
"IMPC_EXD_069_001","Operator effects - Body weight","operator_effects_body_weight",12
"IMPC_EXD_070_001","Operator effects - Open field","operator_effects_open_field",12
"IMPC_EXD_071_001","Operator effects - CSD","operator_effects_csd",12
"IMPC_EXD_072_001","Operator effects - Grip strength","operator_effects_grip_strength",12
"IMPC_EXD_073_001","Operator effects - Acoustic startle","operator_effects_acoustic_startle",12
"IMPC_EXD_074_001","Operator effects - Calorimetry","operator_effects_calorimetry",12
"IMPC_EXD_075_001","Operator effects - IPGTT","operator_effects_ipgtt",12
"IMPC_EXD_076_001","Operator effects - ABR collection","operator_effects_abr_collection",12
"IMPC_EXD_077_001","Operator effects - ABR annotation","operator_effects_abr_annotation",12
"IMPC_EXD_078_001","Operator effects - DEXA","operator_effects_dexa",12
"IMPC_EXD_079_001","Operator effects - X-ray imaging","operator_effects_x_ray_imaging",12
"IMPC_EXD_080_001","Operator effects - X-ray annotation","operator_effects_x_ray_annotation",12
"IMPC_EXD_081_001","Operator effects - Slit lamp","operator_effects_slit_lamp",12
"IMPC_EXD_082_001","Operator effects - Ophthalmoscope","operator_effects_ophthalmoscope",12
"IMPC_EXD_083_001","Operator effects - Hematology","operator_effects_hematology",12
"IMPC_EXD_084_001","Operator effects - Clinical chemistry","operator_effects_clinical_chemistry",12
"IMPC_EXD_085_001","Operator effects - Immunophenotyping collection","operator_effects_immunophenotyping_collection",12
"IMPC_EXD_086_001","Operator effects - Immunophenotyping analysis","operator_effects_immunophenotyping_analysis",12
"IMPC_EXD_087_001","Operator effects - Heart weight","operator_effects_heart_weight",12
"IMPC_EXD_088_001","Operator effects - Gross pathology collection","operator_effects_gross_pathology_collection",12
"IMPC_EXD_089_001","Operator effects - Gross pathology annotation","operator_effects_gross_pathology_annotation",12
"IMPC_EXD_090_001","Operator effects - ECG","operator_effects_ecg",12
"IMPC_EXD_091_001","Operator effects - Echo","operator_effects_echo",12
"IMPC_EXD_092_001","Operator effects - Plethysmography","operator_effects_plethysmography",12
"IMPC_EXD_093_001","Operator effects - Insulin","operator_effects_insulin",12
"IMPC_EXD_094_001","Operator effects - Embryo Lac Z collection","operator_effects_embryo_lac_z_collection",12
"IMPC_EXD_095_001","Operator effects - Embryo Lac Z annotation","operator_effects_embryo_lac_z_annotation",12
"IMPC_EXD_096_001","Operator effects - Adult Lac Z collection","operator_effects_adult_lac_z_collection",12
"IMPC_EXD_097_001","Operator effects - Adult Lac Z annotation","operator_effects_adult_lac_z_annotation",12
"IMPC_EXD_098_001","Time effects","time_effects",12
"IMPC_EXD_099_001","Order effects - Body weight","order_effects_body_weight",12
"IMPC_EXD_100_001","Order effects - CSD","order_effects_csd",12
"IMPC_EXD_101_001","Order effects - Grip strength","order_effects_grip_strength",12
"IMPC_EXD_102_001","Order effects - Acoustic startle","order_effects_acoustic_startle",12
"IMPC_EXD_103_001","Order effects - Calorimetry","order_effects_calorimetry",12
"IMPC_EXD_104_001","Order effects - IPGTT","order_effects_ipgtt",12
"IMPC_EXD_105_001","Order effects - ABR collection","order_effects_abr_collection",12
"IMPC_EXD_106_001","Order effects - ABR annotation","order_effects_abr_annotation",12
"IMPC_EXD_107_001","Order effects - DEXA","order_effects_dexa",12
"IMPC_EXD_108_001","Order effects - X-ray imaging","order_effects_x_ray_imaging",12
"IMPC_EXD_109_001","Order effects - X-ray annotation","order_effects_x_ray_annotation",12
"IMPC_EXD_110_001","Order effects - Slit lamp","order_effects_slit_lamp",12
"IMPC_EXD_111_001","Order effects - Ophthalmoscope","order_effects_ophthalmoscope",12
"IMPC_EXD_112_001","Order effects - Hematology","order_effects_hematology",12
"IMPC_EXD_113_001","Order effects - Clinical chemistry","order_effects_clinical_chemistry",12
"IMPC_EXD_114_001","Order effects - Immunophenotyping","order_effects_immunophenotyping",12
"IMPC_EXD_115_001","Order effects - Heart weight","order_effects_heart_weight",12
"IMPC_EXD_116_001","Order effects - Open field","order_effects_open_field",12
"IMPC_EXD_117_001","Order effects - Gross pathology collection","order_effects_gross_pathology_collection",12
"IMPC_EXD_118_001","Order effects - Gross pathology annotation","order_effects_gross_pathology_annotation",12
"IMPC_EXD_119_001","Order effects - ECG","order_effects_ecg",12
"IMPC_EXD_120_001","Order effects - Echo","order_effects_echo",12
"IMPC_EXD_121_001","Order effects - Plethysmography","order_effects_plethysmography",12
"IMPC_EXD_122_001","Order effects - Insulin","order_effects_insulin",12
"IMPC_EXD_123_001","Order effects - Embryo Lac Z","order_effects_embryo_lac_z",12
"IMPC_EXD_124_001","Order effects - Adult Lac Z","order_effects_adult_lac_z",12
"IMPC_EXD_125_001","Subject selection - ABR","subject_selection_abr",12
"IMPC_EXD_126_001","Subject selection - Gross pathology","subject_selection_gross_pathology",12
"IMPC_VIA_034_001","Gene category","Type of gene inheritance pattern",48
"IMPC_VIA_035_001","Male parents genotype","Genotype of male parent(s)",48
"IMPC_VIA_036_001","Female parents genotype","Genotype of female parent(s)",48
"IMPC_VIA_037_001","Litter male parent specimen id","ID of male parent of litter",48
"IMPC_VIA_038_001","Litter female parent 1 specimen id","ID of female parent",48
"IMPC_VIA_039_001","Litter female parent 2 specimen id","ID of optional second female parent for trio matings",48
"IMPC_VIA_040_001","Litter date of birth","Date of birth of litter",48
"IMPC_VIA_041_001","Number of WT males","Number of wild-type males in litter, or total wild-type males if litter data is not available",48
"IMPC_VIA_042_001","Number of WT females","Number of wild-type females in litter, or total wild-type females if litter data is not available",48
"IMPC_VIA_043_001","Number of heterozygous males","Number of heterozygous males in litter, or total heterozygous males if litter data is not available",48
"IMPC_VIA_044_001","Number of heterozygous females","Number of heterozygous females in litter, or total heterozygous females if litter data is not available",48
"IMPC_VIA_045_001","Number of homozygous males","Number of homozygous males in litter, or total homozygous males if litter data is not available",48
"IMPC_VIA_046_001","Number of homozygous females","Number of homozygous females in litter, or total homozygousfe males if litter data is not available",48
"IMPC_VIA_047_001","Number of hemizygous males","Number of hemizygous males in litter, or total hemizygous males if litter data is not available",48
"IMPC_VIA_048_001","Number of anzygous females","Number of anzygous (i.e. no copies of gene as it is Y-chromosome) females in litter, or total anzygous females if litter data is not available",48
"IMPC_VIA_049_001","Total WT males","Total wild-type males",48
"IMPC_VIA_050_001","Total WT females","Total wild-type females",48
"IMPC_VIA_051_001","Total heterozygous males","Total heterozygous males",48
"IMPC_VIA_052_001","Total heterozygous females","Total heterozygous females",48
"IMPC_VIA_053_001","Total homozygous males","Total homozygous males",48
"IMPC_VIA_054_001","Total homozygous females","Total homozygous males",48
"IMPC_VIA_055_001","Total of hemizygous males","Total hemizygous males",48
"IMPC_VIA_056_001","Total anzygous females","Total anzygous (i.e. no copies of gene as it is Y-chromosome) females",48
"IMPC_VIA_057_001","Total pups","Total pups",48
"IMPC_VIA_058_001","Total WTs","Total wild-type pups",48
"IMPC_VIA_059_001","Total heterozygotes","Total heterozygous pups",48
"IMPC_VIA_060_001","Total homozygotes","Total homozygous pups",48
"IMPC_VIA_061_001","Total males","Total male pups",48
"IMPC_VIA_062_001","Total females","Total female pups",48
"IMPC_VIA_026_001","Female age earliest start","female_age_earliest_start",48
"IMPC_VIA_027_001","Female age oldest end","female_age_oldest_end",48
"IMPC_VIA_030_001","Age of pups at genotype","age_of_pups_at_genotype",48
"IMPC_VIA_063_001","Homozygous males viability","Outcome of viability assessment for homozygous males",48
"IMPC_VIA_064_001","Homozygous females viability","Outcome of viability assessment for homozygous females",48
"IMPC_VIA_065_001","Hemizygous males viability","Outcome of viability assessment for hemizygous males",48
"IMPC_VIA_066_001","Heterozygous animals viability","Outcome of viability assessment for heterozygous animals",48
"IMPC_VIA_067_001","Homozygous animals viability","Outcome of viability assessment for homozygous animals",48
"IMPC_VIA_068_001","Embryo Vignette","Poster style vignette to highlight the embryo development for a line",48
"IMPC_DXA_001_001","Body weight","body_weight",4
"IMPC_DXA_002_001","Fat mass","fat_mass",4
"IMPC_DXA_003_001","Lean mass","lean_mass",4
"IMPC_DXA_004_001","Bone Mineral Density (excluding skull)","bone_mineral_density_excluding_skull_",4
"IMPC_DXA_005_001","Bone Mineral Content (excluding skull)","bone_mineral_content_excluding_skull_",4
"IMPC_DXA_006_001","Body length","body_length",4
"IMPC_DXA_007_001","BMC/Body weight","bmc_body_weight",4
"IMPC_DXA_008_001","Lean/Body weight","lean_body_weight",4
"IMPC_DXA_009_001","Fat/Body weight","fat_body_weight",4
"IMPC_DXA_010_001","Bone Area","bone_area_bmc_bmd_",4
"IMPC_DXA_011_001","Equipment ID","equipment_name",4
"IMPC_DXA_012_001","Equipment manufacturer","equipment_manufactuer",4
"IMPC_DXA_013_001","Equipment model","equipment_model",4
"IMPC_DXA_014_001","Mouse Status","mouse_status",4
"IMPC_DXA_015_001","Anesthesia","anesthesia",4
"IMPC_DXA_016_001","Experimenter ID","experimenter_id",4
"IMPC_DXA_017_001","Date equipment last calibrated","date_equipment_last_calibrated",4
"IMPC_DXA_018_001","HAW","haw",4
"IMPC_OWT_001_001","Body weight","body_weight",42
"IMPC_OWT_002_001","Spleen weight","spleen_weight",42
"IMPC_OWT_003_001","Left kidney weight","left_kidney_weight",42
"IMPC_OWT_004_001","Right kidney weight","right_kidney_weight",42
"IMPC_OWT_005_001","Epididymis weight","epididymis_weight",42
"IMPC_OWT_007_001","Seminal vesicle weight","seminal_vesicle_weight",42
"IMPC_OWT_008_001","Spleen weight to body weight ratio","spleen_weight_to_body_weight_ratio",42
"IMPC_OWT_009_001","Left kidney weight to body weight ratio","left_kidney_weight_to_body_weight_ratio",42
"IMPC_OWT_010_001","Right kidney weight to body weight ratio","right_kidney_weight_to_body_weight_ratio",42
"IMPC_OWT_012_001","Epididymis weight to body weight ratio","epididymis_weight_to_body_weight_ratio",42
"IMPC_OWT_013_001","Seminal vesicle weight to body weight ratio","seminal_vesicle_weight_to_body_weight_ratio",42
"IMPC_OWT_014_001","Experimenter ID","experimenter_id",42
"IMPC_OWT_015_001","Date of sacrifice","date_of_sacrifice",42
"IMPC_OWT_016_001","Method of sacrifice","method_of_sacrifice",42
"IMPC_OWT_017_001","Equipment ID","equipment_id",42
"IMPC_OWT_018_001","Date equipment last calibrated","date_equipment_last_calibrated",42
"IMPC_OWT_019_001","Equipment manufacturer","equipment_manufacturer",42
"IMPC_OWT_020_001","Equipment model","equipment_model",42
"IMPC_OWT_021_001","Left testis weight","left_testis_weight",42
"IMPC_OWT_022_001","Right testis weight","right_testis_weight",42
"IMPC_OWT_023_001","Whole liver weight","whole_liver_weight",42
"IMPC_OWT_024_001","Right lung all lobes weight","right_lung_all_lobes_weight",42
"IMPC_OWT_025_001","Left lung weight","left_lung_weight",42
"IMPC_OWT_026_001","Left testis weight to body weight ratio","left_testis_weight_to_body_weight_ratio",42
"IMPC_OWT_027_001","Right testis weight to body weight ratio","right_testis_weight_to_body_weight_ratio",42
"IMPC_OWT_028_001","Whole liver weight to body weight ratio","whole_liver_weight_to_body_weight_ratio",42
"IMPC_OWT_029_001","Right lung all lobes weight to body weight ratio","right_lung_all_lobes_weight_to_body_weight_ratio",42
"IMPC_OWT_030_001","Left lung weight to body weight ratio","left_lung_weight_to_body_weight_ratio",42
"IMPC_OWT_031_001","Whole lung weight","whole_lung_weight",42
"IMPC_XRY_001_001","Skull shape","skull_shape",50
"IMPC_XRY_002_001","Zygomatic bone","zygomatic_bone",50
"IMPC_XRY_003_001","Maxilla/Pre-maxilla","maxilla",50
"IMPC_XRY_004_001","Mandibles","mandibles",50
"IMPC_XRY_005_001","Teeth","teeth",50
"IMPC_XRY_006_001","Scapulae","scapulae",50
"IMPC_XRY_007_001","Clavicle","clavicle",50
"IMPC_XRY_008_001","Number of ribs right","number_of_ribs_right",50
"IMPC_XRY_009_001","Number of ribs left","number_of_ribs_left",50
"IMPC_XRY_010_001","Shape of ribs","shape_of_ribs",50
"IMPC_XRY_011_001","Fusion of ribs","fusion_of_ribs",50
"IMPC_XRY_012_001","Pelvis","pelvis",50
"IMPC_XRY_013_001","Number of cervical vertebrae","number_of_cervical_vertebrae",50
"IMPC_XRY_014_001","Number of thoracic vertebrae","number_of_thoracic_vertebrae",50
"IMPC_XRY_015_001","Number of lumbar vertebrae","number_of_lumbar_vertebrae",50
"IMPC_XRY_016_001","Number of pelvic vertebrae","number_of_pelvic_vertebrae",50
"IMPC_XRY_017_001","Number of caudal vertebrae","number_of_caudal_vertebrae",50
"IMPC_XRY_018_001","Shape of vertebrae","shape_of_vertebrae",50
"IMPC_XRY_019_001","Fusion of vertebrae","fusion_of_vertebrae",50
"IMPC_XRY_020_001","Processes on vertebrae","processes_on_vertebrae",50
"IMPC_XRY_021_001","Humerus","humerus",50
"IMPC_XRY_022_001","Radius","radius",50
"IMPC_XRY_023_001","Ulna","ulna",50
"IMPC_XRY_024_001","Femur","femur",50
"IMPC_XRY_025_001","Tibia","tibia",50
"IMPC_XRY_026_001","Fibula","fibula",50
"IMPC_XRY_027_001","Joints","joints",50
"IMPC_XRY_028_001","Number of digits","number_of_digits",50
"IMPC_XRY_029_001","Syndactylism","syndactylism",50
"IMPC_XRY_030_001","Brachydactyly","completeness_of_digits",50
"IMPC_XRY_031_001","Digit integrity","digit_integrity",50
"IMPC_XRY_032_001","Comment on XRay image","comment_on_xray_image",50
"IMPC_XRY_033_001","Tibia length","tibia_length",50
"IMPC_XRY_034_001","XRay Images Whole Body Dorso Ventral","xray_images",50
"IMPC_XRY_035_001","Alive","alive",50
"IMPC_XRY_036_001","Xray equipment ID","xray_equipment_name",50
"IMPC_XRY_037_001","Xray equipment manufacturer","xray_equipment_manufacturer",50
"IMPC_XRY_038_001","Xray equipment model","xray_equipment_model",50
"IMPC_XRY_039_001","Settings time of exposure","settings_time_of_exposure",50
"IMPC_XRY_040_001","Settings level","settings_level",50
"IMPC_XRY_041_001","Experimenter ID (scan)","experimenter_scan_",50
"IMPC_XRY_042_001","Experimenter ID (analysis)","experimenter_analysis_",50
"IMPC_XRY_043_001","Voltage settings","voltage_settings",50
"IMPC_XRY_044_001","Scanner equipment ID","scanner_equipment_name",50
"IMPC_XRY_045_001","Scanner equipment manufacturer","scanner_equipment_manufacturer",50
"IMPC_XRY_046_001","Scanner equipment model","scanner_equipment_model",50
"IMPC_XRY_047_001","Date Xray equipment last calibrated","date_xray_equipment_last_calibrated",50
"IMPC_XRY_048_001","XRay Images Whole Body Lateral Orientation","xray_images_whole_body_lateral_orientation",50
"IMPC_XRY_049_001","XRay Images Forepaw","xray_images_forepaw",50
"IMPC_XRY_050_001","XRay Images Skull Lateral Orientation","xray_images_skull_lateral_orientation",50
"IMPC_XRY_051_001","XRay Images Skull Dorso Ventral Orientation","xray_images_skull_dorso_ventral_orientation",50
"IMPC_XRY_052_001","XRay Images Hind Leg and Hip","xray_images_hind_leg_and_hip",50
"IMPC_XRY_053_001","Date Scanner equipment last calibrated","date_scanner_equipment_last_calibrated",50
"IMPC_XRY_054_001","Free Ontology","free_ontology",50
"IMPC_XRY_055_001","Shape of spine","shape_of_spine",50
"IMPC_XRY_056_001","Scoliosis","scoliosis",50
"IMPC_XRY_057_001","Kyphosis","kyphosis",50
"IMPC_XRY_058_001","Lordosis","lordosis",50
"IMPC_XRY_059_001","Shape of ribcage","shape_of_ribcage",50
"IMPC_XRY_060_001","Transitional vertebrae","transitional_vertebrae",50
"IMPC_XRY_061_001","Fusion of processes","fusion_of_processes",50
"IMPC_XRY_062_001","Polysyndactylism","polysyndactylism",50
"IMPC_XRY_063_001","Cervical processes","cervical_processes",50
"IMPC_XRY_064_001","Thoracic processes","thoracic_processes",50
"IMPC_XRY_065_001","Lumbar processes","lumbar_processes",50
"IMPC_XRY_066_001","Sacral processes","sacral_processes",50
"IMPC_XRY_067_001","Caudal processes","caudal_processes",50
"IMPC_XRY_068_001","Missing cranial rib","missing_cranial_rib",50
"IMPC_XRY_069_001","Rib morphology","rib_morphology",50
"IMPC_XRY_070_001","Cervical vertebrae morphology","cervical_vertebrae_morphology",50
"IMPC_XRY_071_001","Thoracic vertebrae morphology","thoracic_vertebrae_morphology",50
"IMPC_XRY_072_001","Lumbar vertebrae morphology","lumbar_vertebrae_morphology",50
"IMPC_XRY_073_001","Pelvic vertebrae morphology","pelvic_vertebrae_morphology",50
"IMPC_XRY_074_001","Caudal vertebrae morphology","caudal_vertebrae_morphology",50
"IMPC_GPL_001_001","Placenta Development","placenta_development",25
"IMPC_GPL_002_001","Placenta Morphology","placenta_morphology",25
"IMPC_GPL_003_001","Placenta Vasculature","placenta_vasculature",25
"IMPC_GPL_004_001","Placenta Size","placenta_size",25
"IMPC_GPL_005_001","Umbilical cord morphology","umbilical_cord_morphology",25
"IMPC_GPL_006_001","Comment on image","comment_on_image",25
"IMPC_GPL_007_001","Images","images",25
"IMPC_GPL_008_001","Experimenter ID","experimenter_id",25
"IMPC_GPL_009_001","Equipment ID","equipment_id",25
"IMPC_GPL_010_001","Equipment Manufacturer","equipment_manufacturer",25
"IMPC_GPL_011_001","Equipment Model","equipment_model",25
"IMPC_GPL_012_001","Fixative","fixative",25
"IMPC_GPL_013_001","Time of Dissection","time_of_dissection",25
"IMPC_GPL_014_001","Somite Stage","somite_stage",25
"IMPC_GPL_015_001","Time of dark cycle start","time_of_dark_cycle_start",25
"IMPC_GPL_016_001","Time of dark cycle end","time_of_dark_cycle_end",25
"IMPC_GPL_017_001","Date equipment last calibrated","date_equipment_last_calibrated",25
"IMPC_HIS_001_001","Brain - MPATH diagnostic term","brain_-_mpath_diagnostic_term",29
"IMPC_HIS_002_001","Brain - Free text diagnostic term","brain_-_free_text_diagnostic_term",29
